experiment,accuracy_mean,accuracy_ci95,macro_f1_mean,macro_f1_ci95,weighted_f1_mean,weighted_f1_ci95,p_value_vs_main_macro_f1
Ablation: unigrams only,0.4004761904761905,0.008066484167508136,0.2940723959520026,0.018061932397649645,0.3761688030497468,0.00942670015823995,0.11802104605374093
Ablation: +tags,0.4101587301587301,0.010553682214363775,0.2869215082622949,0.011071417317855608,0.37512209500012456,0.01236373799436383,0.48227834380272766
Subject+Body,0.4057142857142857,0.009611069676273256,0.28319173866788516,0.01391754239899729,0.37246880768712176,0.011491329844221913,0.9778315256828192
Main: subject+body+language,0.4065079365079365,0.011418745826113188,0.28315581265527556,0.014954167197042668,0.37296368298302135,0.01370282545275799,
Body only,0.3976190476190476,0.007228112798628142,0.27007648100351933,0.006611944953852688,0.3635190213814349,0.009317743331629203,0.0397482350944882
Ablation: small vocabulary,0.3838095238095239,0.011425349438709183,0.24372571758672312,0.011903722778946113,0.3431824577188758,0.013340050162025071,0.00013029610161255514
Subject only,0.29015873015873017,0.0066445321253959105,0.2075927559982098,0.01204594074395037,0.2815363618693755,0.00657525877824664,9.989533282219463e-05
Dummy: most frequent,0.29253968253968254,0.0005014205740276257,0.04526584920163561,6.000458952914839e-05,0.13242087306300904,0.0004027952527637486,1.9278503390133185e-08
