seed,fraction,macro_f1
42,0.25,0.37842702700908437
42,0.5,0.44695447263107646
42,0.75,0.4442560811306594
42,1.0,0.4715885336048518
43,0.25,0.3797163114700132
43,0.5,0.4500243162161361
43,0.75,0.46564375089904236
43,1.0,0.4936648655152517
44,0.25,0.3757820999776106
44,0.5,0.4500927793051603
44,0.75,0.4678516363244782
44,1.0,0.47056816069520907
