seed,fraction,macro_f1
42,0.1,0.20112398680725585
42,0.25,0.2830181412024624
42,0.5,0.29471095232013333
42,0.75,0.2716427919859993
42,1.0,0.28859168786834255
43,0.1,0.20273942147160548
43,0.25,0.24397801445996198
43,0.5,0.2708394087888359
43,0.75,0.2864539615318612
43,1.0,0.26901527807580017
44,0.1,0.19467099687674755
44,0.25,0.231666434018658
44,0.5,0.3092593429605418
44,0.75,0.31314933566065484
44,1.0,0.31701334258763836
45,0.1,0.1889488076543478
45,0.25,0.2518015945490461
45,0.5,0.24605532036097263
45,0.75,0.25842092327258087
45,1.0,0.2776733314146969
46,0.1,0.2348573287610935
46,0.25,0.2443152184766399
46,0.5,0.25185479109868597
46,0.75,0.2935830925744526
46,1.0,0.27314490141821873
