experiment,seed,val_accuracy,val_macro_f1,val_weighted_f1,accuracy,macro_f1,weighted_f1
Dummy: most frequent,42,0.29333333333333333,0.04536082474226804,0.13305841924398626,0.2922222222222222,0.04522785898538263,0.13216585459061814
Dummy: most frequent,43,0.2922222222222222,0.04522785898538263,0.13216585459061814,0.2922222222222222,0.04522785898538263,0.13216585459061814
Dummy: most frequent,44,0.2922222222222222,0.04522785898538263,0.13216585459061814,0.2922222222222222,0.04522785898538263,0.13216585459061814
Dummy: most frequent,45,0.2922222222222222,0.04522785898538263,0.13216585459061814,0.29333333333333333,0.04536082474226804,0.13305841924398626
Dummy: most frequent,46,0.2922222222222222,0.04522785898538263,0.13216585459061814,0.2922222222222222,0.04522785898538263,0.13216585459061814
Dummy: most frequent,47,0.2922222222222222,0.04522785898538263,0.13216585459061814,0.29333333333333333,0.04536082474226804,0.13305841924398626
Dummy: most frequent,48,0.2922222222222222,0.04522785898538263,0.13216585459061814,0.2922222222222222,0.04522785898538263,0.13216585459061814
Subject only,42,0.29888888888888887,0.19577073595467992,0.2860036451390685,0.29444444444444445,0.21611456472044668,0.28280150677739013
Subject only,43,0.2722222222222222,0.2154572335761972,0.2652998679983651,0.29,0.2232661891264426,0.28242724059147695
Subject only,44,0.26555555555555554,0.18816345020527164,0.2556632928888095,0.29555555555555557,0.20639437511369838,0.2907209632112017
Subject only,45,0.2677777777777778,0.1913816341096792,0.25714980682503064,0.27555555555555555,0.19520282244646003,0.26783112589075303
Subject only,46,0.3011111111111111,0.24107738363854522,0.2962797316960548,0.2911111111111111,0.22225366561363763,0.28182748021222354
Subject only,47,0.29777777777777775,0.21554635744867484,0.29040469551715925,0.2966666666666667,0.19724748211334625,0.28621021697954435
Subject only,48,0.2777777777777778,0.20390352876072143,0.26784999282817024,0.2877777777777778,0.19267019285343703,0.27893599942303826
Body only,42,0.38333333333333336,0.2532111338328303,0.3444916811356663,0.39444444444444443,0.2766764537483481,0.35937878134218976
Body only,43,0.3788888888888889,0.2754812740749076,0.35352736461449025,0.3933333333333333,0.2596959745343455,0.3550866907695724
Body only,44,0.3811111111111111,0.26138342736196135,0.3502940121045702,0.4122222222222222,0.276436835207804,0.37962015043140646
